"global_step","Group: ResNet_Adapted - _step","Group: ResNet_Adapted - _step__MIN","Group: ResNet_Adapted - _step__MAX","Group: ResNet_Adapted - losses/entropy","Group: ResNet_Adapted - losses/entropy__MIN","Group: ResNet_Adapted - losses/entropy__MAX","Group: ResNet_Single_Frame_Adapted - _step","Group: ResNet_Single_Frame_Adapted - _step__MIN","Group: ResNet_Single_Frame_Adapted - _step__MAX","Group: ResNet_Single_Frame_Adapted - losses/entropy","Group: ResNet_Single_Frame_Adapted - losses/entropy__MIN","Group: ResNet_Single_Frame_Adapted - losses/entropy__MAX","Group: CNN_Single_Frame_Adapted - _step","Group: CNN_Single_Frame_Adapted - _step__MIN","Group: CNN_Single_Frame_Adapted - _step__MAX","Group: CNN_Single_Frame_Adapted - losses/entropy","Group: CNN_Single_Frame_Adapted - losses/entropy__MIN","Group: CNN_Single_Frame_Adapted - losses/entropy__MAX","Group: Swin_Single_Frame_Adapted_lrl-- - _step","Group: Swin_Single_Frame_Adapted_lrl-- - _step__MIN","Group: Swin_Single_Frame_Adapted_lrl-- - _step__MAX","Group: Swin_Single_Frame_Adapted_lrl-- - losses/entropy","Group: Swin_Single_Frame_Adapted_lrl-- - losses/entropy__MIN","Group: Swin_Single_Frame_Adapted_lrl-- - losses/entropy__MAX","Group: Swin_Single_Frame_Adapted_LoRA - _step","Group: Swin_Single_Frame_Adapted_LoRA - _step__MIN","Group: Swin_Single_Frame_Adapted_LoRA - _step__MAX","Group: Swin_Single_Frame_Adapted_LoRA - losses/entropy","Group: Swin_Single_Frame_Adapted_LoRA - losses/entropy__MIN","Group: Swin_Single_Frame_Adapted_LoRA - losses/entropy__MAX","Group: CNN_Adapted - _step","Group: CNN_Adapted - _step__MIN","Group: CNN_Adapted - _step__MAX","Group: CNN_Adapted - losses/entropy","Group: CNN_Adapted - losses/entropy__MIN","Group: CNN_Adapted - losses/entropy__MAX"
"4096","3","3","3","2.3672626666666665","2.3324625","2.3897374","3","3","3","2.3670494666666664","2.3217275","2.3933399","3","3","3","2.4562868333333334","2.454031","2.4590342","3","3","3","2.457054733333333","2.4342828","2.4729774","3","3","3","2.447289566666667","2.4297786","2.4567268","3","3","3","2.4599136666666666","2.457787","2.462489"
"8192","12","12","12","2.3621006","2.3318822","2.3806312","12","12","12","2.3653174","2.3313043","2.3860378","12","12","12","2.4534697666666667","2.4508913","2.4565604","12","12","12","2.452253133333334","2.434826","2.4713492","12","12","12","2.4381614333333332","2.4139068","2.4520874","12","12","12","2.451589666666667","2.4486156","2.4532144"
"12288","21","21","21","2.362520433333333","2.3356404","2.3779335","21","21","21","2.3683037666666666","2.3492746","2.3800974","21","21","21","2.4447060333333335","2.4343429","2.454241","21","21","21","2.438249733333333","2.4082084","2.4658628","21","21","21","2.4172648","2.4026942","2.428711","21","21","21","2.4430470000000004","2.434702","2.453494"
"16384","30","30","30","2.3647581","2.3472173","2.374306","30","30","30","2.3683205666666667","2.357586","2.3786044","30","30","30","2.4214363666666663","2.39614","2.4435916","30","30","30","2.4234705","2.3924308","2.4647305","30","30","30","2.4013568","2.385202","2.4116306","30","30","30","2.4291738666666665","2.4249601","2.4366019"
"20480","39","39","39","2.3635763333333335","2.3512888","2.3783474","39","39","39","2.366499933333333","2.3466668","2.389628","39","39","39","2.404381366666667","2.3742695","2.4210303","39","39","39","2.3939127333333334","2.348606","2.4473414","39","39","39","2.384710233333333","2.3645215","2.396363","39","39","39","2.4073453666666667","2.3854575","2.4236808"
"24576","48","48","48","2.3646251333333335","2.3551164","2.3802137","48","48","48","2.3624703","2.3398566","2.386039","48","48","48","2.3804946333333334","2.3397675","2.4033237","48","48","48","2.3853035","2.3506496","2.4306276","48","48","48","2.3694546333333335","2.3435483","2.3963003","48","48","48","2.3902943333333333","2.3794036","2.4113994"
"28672","57","57","57","2.3613927","2.3517008","2.372718","57","57","57","2.3597334666666665","2.328494","2.3854313","57","57","57","2.3520434666666667","2.301557","2.3801656","57","57","57","2.3735155999999997","2.3485072","2.4179866","57","57","57","2.363567833333333","2.3440175","2.3972244","57","57","57","2.3617857","2.3083658","2.4045696"
"32768","66","66","66","2.3621387333333335","2.3486154","2.3739371","66","66","66","2.3584824333333336","2.3238351","2.3774195","66","66","66","2.3403684333333334","2.2910802","2.3732903","66","66","66","2.3474630666666667","2.3232882","2.3900266","66","66","66","2.357574466666667","2.3328047","2.3974814","66","66","66","2.3290176","2.242365","2.3842635"
"36864","75","75","75","2.3549661","2.3360233","2.3673077","75","75","75","2.3588764333333336","2.3185863","2.382667","75","75","75","2.3268944333333335","2.2521315","2.3856494","75","75","75","2.3610344","2.2980819","2.3977656","75","75","75","2.345037233333333","2.332833","2.3633204","75","75","75","2.3123605333333335","2.2030714","2.388968"
"40960","84","84","84","2.3518102333333335","2.3310285","2.368726","84","84","84","2.3507585","2.3191078","2.370328","84","84","84","2.2719189666666666","2.1918945","2.3627934","84","84","84","2.311154566666666","2.274895","2.3583272","84","84","84","2.3206654666666666","2.3170629","2.3264945","84","84","84","2.2799786666666666","2.1658785","2.359092"
