"global_step","Group: ResNet_Adapted - _step","Group: ResNet_Adapted - _step__MIN","Group: ResNet_Adapted - _step__MAX","Group: ResNet_Adapted - Default-Conf-v1/episode_len","Group: ResNet_Adapted - Default-Conf-v1/episode_len__MIN","Group: ResNet_Adapted - Default-Conf-v1/episode_len__MAX","Group: ResNet_Single_Frame_Adapted - _step","Group: ResNet_Single_Frame_Adapted - _step__MIN","Group: ResNet_Single_Frame_Adapted - _step__MAX","Group: ResNet_Single_Frame_Adapted - Default-Conf-v1/episode_len","Group: ResNet_Single_Frame_Adapted - Default-Conf-v1/episode_len__MIN","Group: ResNet_Single_Frame_Adapted - Default-Conf-v1/episode_len__MAX","Group: CNN_Single_Frame_Adapted - _step","Group: CNN_Single_Frame_Adapted - _step__MIN","Group: CNN_Single_Frame_Adapted - _step__MAX","Group: CNN_Single_Frame_Adapted - Default-Conf-v1/episode_len","Group: CNN_Single_Frame_Adapted - Default-Conf-v1/episode_len__MIN","Group: CNN_Single_Frame_Adapted - Default-Conf-v1/episode_len__MAX","Group: Swin_Single_Frame_Adapted_lrl-- - _step","Group: Swin_Single_Frame_Adapted_lrl-- - _step__MIN","Group: Swin_Single_Frame_Adapted_lrl-- - _step__MAX","Group: Swin_Single_Frame_Adapted_lrl-- - Default-Conf-v1/episode_len","Group: Swin_Single_Frame_Adapted_lrl-- - Default-Conf-v1/episode_len__MIN","Group: Swin_Single_Frame_Adapted_lrl-- - Default-Conf-v1/episode_len__MAX","Group: Swin_Single_Frame_Adapted_LoRA - _step","Group: Swin_Single_Frame_Adapted_LoRA - _step__MIN","Group: Swin_Single_Frame_Adapted_LoRA - _step__MAX","Group: Swin_Single_Frame_Adapted_LoRA - Default-Conf-v1/episode_len","Group: Swin_Single_Frame_Adapted_LoRA - Default-Conf-v1/episode_len__MIN","Group: Swin_Single_Frame_Adapted_LoRA - Default-Conf-v1/episode_len__MAX","Group: CNN_Adapted - _step","Group: CNN_Adapted - _step__MIN","Group: CNN_Adapted - _step__MAX","Group: CNN_Adapted - Default-Conf-v1/episode_len","Group: CNN_Adapted - Default-Conf-v1/episode_len__MIN","Group: CNN_Adapted - Default-Conf-v1/episode_len__MAX"
"81920","180","180","180","526.7333333333332","495.3","544.9","180","180","180","508.8333333333333","473.8","527","180","180","180","563.6","517.5","592.4","180","180","180","507.36666666666673","502.2","512.1","180","180","180","535.8666666666667","524.9","553.3","180","180","180","521.4","472.5","591.1"
"163840","364","364","364","506","489.1","518.6","364","364","364","500.40000000000003","484.1","516.1","364","364","364","512.5","485","553.5","364","364","364","510.3999999999999","484.3","528.3","364","364","364","516.2333333333332","497","537.3","364","364","364","489.7","459.1","538.2"
"245760","548","548","548","508.4666666666667","503.5","515.3","548","548","548","485.9666666666667","467.8","498.7","548","548","548","499.93333333333334","464.2","552.2","548","548","548","500.9666666666667","490.9","508.3","548","548","548","519.6333333333333","482.6","553.5","548","548","548","495.2","457.5","531.4"
"327680","732","732","732","502.6333333333334","479","549.1","732","732","732","480.3","466.8","495","732","732","732","508.2","466.1","587","732","732","732","502.3666666666666","485.5","513.1","732","732","732","520.7666666666667","478.9","563.2","732","732","732","479.93333333333334","455.4","498.4"
"409600","916","916","916","495.23333333333335","485.4","513.7","916","916","916","478.0333333333333","466.5","490","916","916","916","540.5","469.4","661.7","916","916","916","519.1666666666666","509.9","534.6","916","916","916","522.8000000000001","515.5","528","916","916","916","474.9666666666667","458.3","491.8"
"491520","1100","1100","1100","495.1666666666667","483.5","505","1100","1100","1100","471.09999999999997","464.4","483.1","1100","1100","1100","519.1999999999999","462","586","1100","1100","1100","548.0999999999999","534.9","573.8","1100","1100","1100","557.5333333333333","507.9","588.8","1100","1100","1100","466.6333333333334","450.3","486.3"
"573440","1284","1284","1284","491.90000000000003","485.3","495.2","1284","1284","1284","473.63333333333327","458.9","481.7","1284","1284","1284","517.9333333333334","459.5","589.7","1284","1284","1284","543.4","516.1","558.9","1284","1284","1284","564.0333333333333","487.6","636.9","1284","1284","1284","489.8666666666666","466.3","507.7"
"655360","1468","1468","1468","481.5666666666666","471.9","494.6","1468","1468","1468","480.4666666666667","463.9","489.7","1468","1468","1468","505.5333333333333","442.9","605.7","1468","1468","1468","555.9999999999999","522.8","599.9","1468","1468","1468","561.0666666666666","508.9","618.2","1468","1468","1468","515.3000000000001","480.4","555.9"
"737280","1652","1652","1652","486.3333333333333","464.3","515.5","1652","1652","1652","488","451.4","528.2","1652","1652","1652","500.73333333333335","450.5","579.7","1652","1652","1652","561.1666666666666","545.3","580.6","1652","1652","1652","554.8666666666667","525.6","575.1","1652","1652","1652","542.1333333333333","496.3","633.3"
"819200","1836","1836","1836","487","478.8","503","1836","1836","1836","484.8","454.1","504.3","1836","1836","1836","529.1666666666666","454.1","638.6","1836","1836","1836","587.4","561.5","618","1836","1836","1836","594.5666666666666","562.9","652.9","1836","1836","1836","553.4","508","612.3"
