"global_step","Group: ResNet_Adapted - _step","Group: ResNet_Adapted - _step__MIN","Group: ResNet_Adapted - _step__MAX","Group: ResNet_Adapted - losses/explained_variance","Group: ResNet_Adapted - losses/explained_variance__MIN","Group: ResNet_Adapted - losses/explained_variance__MAX","Group: ResNet_Single_Frame_Adapted - _step","Group: ResNet_Single_Frame_Adapted - _step__MIN","Group: ResNet_Single_Frame_Adapted - _step__MAX","Group: ResNet_Single_Frame_Adapted - losses/explained_variance","Group: ResNet_Single_Frame_Adapted - losses/explained_variance__MIN","Group: ResNet_Single_Frame_Adapted - losses/explained_variance__MAX","Group: CNN_Single_Frame_Adapted - _step","Group: CNN_Single_Frame_Adapted - _step__MIN","Group: CNN_Single_Frame_Adapted - _step__MAX","Group: CNN_Single_Frame_Adapted - losses/explained_variance","Group: CNN_Single_Frame_Adapted - losses/explained_variance__MIN","Group: CNN_Single_Frame_Adapted - losses/explained_variance__MAX","Group: Swin_Single_Frame_Adapted_lrl-- - _step","Group: Swin_Single_Frame_Adapted_lrl-- - _step__MIN","Group: Swin_Single_Frame_Adapted_lrl-- - _step__MAX","Group: Swin_Single_Frame_Adapted_lrl-- - losses/explained_variance","Group: Swin_Single_Frame_Adapted_lrl-- - losses/explained_variance__MIN","Group: Swin_Single_Frame_Adapted_lrl-- - losses/explained_variance__MAX","Group: Swin_Single_Frame_Adapted_LoRA - _step","Group: Swin_Single_Frame_Adapted_LoRA - _step__MIN","Group: Swin_Single_Frame_Adapted_LoRA - _step__MAX","Group: Swin_Single_Frame_Adapted_LoRA - losses/explained_variance","Group: Swin_Single_Frame_Adapted_LoRA - losses/explained_variance__MIN","Group: Swin_Single_Frame_Adapted_LoRA - losses/explained_variance__MAX","Group: CNN_Adapted - _step","Group: CNN_Adapted - _step__MIN","Group: CNN_Adapted - _step__MAX","Group: CNN_Adapted - losses/explained_variance","Group: CNN_Adapted - losses/explained_variance__MIN","Group: CNN_Adapted - losses/explained_variance__MAX"
"4096","7","7","7","-0.11701808666666665","-0.287529","0.042548954","7","7","7","-0.03710057333333333","-0.109683275","0.030945122","7","7","7","-0.004281203","-0.005489588","-0.002130866","7","7","7","-0.003909528","-0.022810578","0.01939708","7","7","7","-0.0046606461","-0.0066491365","-0.0010294914","7","7","7","0.001366416646666667","-0.00069892406","0.0026557446"
"8192","16","16","16","0.16873792766666665","0.009153843","0.26955438","16","16","16","0.2715734066666667","0.2083841","0.35419315","16","16","16","0.14104295000000003","0.1337511","0.14843643","16","16","16","0.28558522333333336","0.19056195","0.34247696","16","16","16","0.32260642666666667","0.24700868","0.39404494","16","16","16","0.07552528366666665","0.004112661","0.18332362"
"12288","25","25","25","0.22427988","0.09673977","0.29170793","25","25","25","0.4095050033333334","0.34271264","0.45263147","25","25","25","0.23337094","0.16565901","0.27574486","25","25","25","0.3993849933333333","0.38537717","0.42024028","25","25","25","0.40503303333333335","0.3315493","0.4779393","25","25","25","0.13827397566666666","0.005041957","0.34762204"
"16384","34","34","34","0.3983982833333333","0.3175761","0.5142807","34","34","34","0.48619066666666666","0.4427954","0.537488","34","34","34","0.2923239933333333","0.22776538","0.3259641","34","34","34","0.40060782","0.37061948","0.4276561","34","34","34","0.4264732433333333","0.37159336","0.48503107","34","34","34","0.15114430516666666","0.0118460655","0.30105704"
"20480","43","43","43","0.3518794733333333","0.3457322","0.35974562","43","43","43","0.34803154000000003","0.2574265","0.42582136","43","43","43","0.3004745066666667","0.24188799","0.38275117","43","43","43","0.3175979466666667","0.24414879","0.35494435","43","43","43","0.3224118933333333","0.2884556","0.3699581","43","43","43","0.12103676533333334","0.05796945","0.2172715"
"24576","52","52","52","0.334879","0.24567133","0.40801382","52","52","52","0.42179974","0.360039","0.45611787","52","52","52","0.31618013","0.22483128","0.40530348","52","52","52","0.36700337666666666","0.3283041","0.42591065","52","52","52","0.3707641","0.35403717","0.39066148","52","52","52","0.24602860000000001","0.18104458","0.28910106"
"28672","61","61","61","0.3833963266666666","0.28927934","0.46797806","61","61","61","0.42142562","0.22311926","0.55133927","61","61","61","0.43006966666666663","0.4109146","0.44019288","61","61","61","0.3229970166666667","0.23667747","0.36968303","61","61","61","0.40656934333333333","0.3620956","0.46623087","61","61","61","0.24559317333333333","0.22185785","0.25842005"
"32768","70","70","70","0.3665397166666667","0.28772175","0.43729335","70","70","70","0.4442745633333333","0.33159345","0.51832294","70","70","70","0.39919437999999996","0.37439942","0.44582427","70","70","70","0.37006339000000005","0.36463124","0.3763047","70","70","70","0.37620366666666666","0.3301916","0.4567008","70","70","70","0.32824282","0.25994468","0.37043518"
"36864","79","79","79","0.351741","0.30284435","0.44061035","79","79","79","0.36180956999999997","0.27014893","0.54377556","79","79","79","0.3715623433333333","0.2748639","0.4499923","79","79","79","0.25660737333333333","0.12411302","0.40257174","79","79","79","0.27598804666666665","0.22250432","0.33284712","79","79","79","0.3438940466666667","0.28581858","0.3978774"
"40960","88","88","88","0.35416546","0.3130309","0.4324695","88","88","88","0.34104319666666666","0.2997486","0.39653844","88","88","88","0.44634201333333334","0.40816498","0.47516626","88","88","88","0.32197777","0.30043387","0.33791894","88","88","88","0.3220595933333333","0.24910408","0.3756407","88","88","88","0.31966928333333333","0.23409867","0.45061618"
"45056","97","97","97","0.34051239","0.26142704","0.42467183","97","97","97","0.4349569466666667","0.34284365","0.57874393","97","97","97","0.45954263","0.41730332","0.48800015","97","97","97","0.38877864666666667","0.34984952","0.45178205","97","97","97","0.32972268","0.28071427","0.38246202","97","97","97","0.31495120666666665","0.28691334","0.3685158"
"49152","106","106","106","0.3790345766666667","0.34643757","0.42623323","106","106","106","0.38887886","0.33755326","0.48962432","106","106","106","0.47929277","0.43396246","0.56599915","106","106","106","0.3145527633333333","0.21691024","0.3638739","106","106","106","0.30496484","0.2494865","0.38759202","106","106","106","0.3497188633333333","0.26200902","0.39789957"
"53248","115","115","115","0.27663397666666667","0.12166011","0.462381","115","115","115","0.3184394033333333","0.3093704","0.33630347","115","115","115","0.4980818233333333","0.49000782","0.50313115","115","115","115","0.20076467566666664","-0.014674783","0.37740904","115","115","115","0.27870559666666667","0.22988218","0.33034307","115","115","115","0.33926547333333334","0.2965414","0.38087702"
"57344","124","124","124","0.26706000333333335","0.18034488","0.3443113","124","124","124","0.3362609733333333","0.26088142","0.4248739","124","124","124","0.5047958499999999","0.48097235","0.5219712","124","124","124","0.18648308733333332","0.017206132","0.31105638","124","124","124","0.3608241333333333","0.25951082","0.43842638","124","124","124","0.2719908366666666","0.15259045","0.3882413"
"61440","133","133","133","0.41630428666666663","0.3690949","0.46213788","133","133","133","0.4068042266666667","0.38715518","0.4260106","133","133","133","0.49602446666666666","0.35264504","0.5957893","133","133","133","0.2762358166666667","0.1957947","0.3229466","133","133","133","0.38838268666666664","0.34055656","0.4816485","133","133","133","0.36921525000000005","0.3010484","0.43164945"
"65536","142","142","142","0.43082851","0.38893688","0.4707176","142","142","142","0.43991736333333337","0.42671722","0.45400494","142","142","142","0.52106192","0.4406389","0.56687236","142","142","142","0.32648235","0.2671802","0.37408155","142","142","142","0.3292769","0.27562833","0.37492555","142","142","142","0.37971170666666665","0.24824792","0.46743107"
"69632","151","151","151","0.3559241266666667","0.28724658","0.44889468","151","151","151","0.39376672333333335","0.29155505","0.46711326","151","151","151","0.4882214833333333","0.44822365","0.5317539","151","151","151","0.345042272","0.123538256","0.47125816","151","151","151","0.37104352","0.31449264","0.45163602","151","151","151","0.39379074999999997","0.26721793","0.5924274"
"73728","160","160","160","0.2719854133333333","0.21405876","0.33104235","160","160","160","0.32567703666666664","0.22377926","0.45306212","160","160","160","0.53762909","0.40654612","0.6678403","160","160","160","0.3404391233333333","0.20441043","0.4833454","160","160","160","0.4010478066666667","0.28919095","0.49879974","160","160","160","0.3200937933333334","0.21589524","0.43111914"
"77824","169","169","169","0.36105912","0.2724499","0.44622856","169","169","169","0.30793355","0.27993733","0.34507495","169","169","169","0.5667458","0.5178642","0.6271774","169","169","169","0.27090707999999997","0.21241647","0.3057497","169","169","169","0.36600433","0.35016847","0.38816774","169","169","169","0.43298733","0.35247964","0.53428745"
"81920","178","178","178","0.41654668","0.37744218","0.4438253","178","178","178","0.44110066000000003","0.40994072","0.4580176","178","178","178","0.61874215","0.57286525","0.65186906","178","178","178","0.3930732633333333","0.34931916","0.43487895","178","178","178","0.47971218","0.4220994","0.5291004","178","178","178","0.54593686","0.50164044","0.61937714"
"86016","191","191","191","0.37400207999999996","0.31024224","0.40761703","191","191","191","0.4295666166666667","0.4006245","0.46036702","191","191","191","0.6223227833333334","0.58679295","0.6497628","191","191","191","0.27448517666666666","0.04690063","0.4402566","191","191","191","0.4358436433333333","0.35440248","0.5266906","191","191","191","0.5134275566666667","0.39666504","0.58940136"
"90112","200","200","200","0.41023514333333333","0.32576632","0.47970515","200","200","200","0.44939041333333335","0.35401303","0.51153594","200","200","200","0.52580049","0.37167537","0.6398376","200","200","200","0.37879376","0.19027811","0.61847097","200","200","200","0.5128312533333333","0.24421108","0.66379464","200","200","200","0.5211710533333334","0.48797566","0.5835271"
"94208","209","209","209","0.34005765000000004","0.26775056","0.40422606","209","209","209","0.3922582666666667","0.33157384","0.43577564","209","209","209","0.5467101933333334","0.48813558","0.5837548","209","209","209","0.35133654","0.25935155","0.44438094","209","209","209","0.3196875633333333","0.28978896","0.37443417","209","209","209","0.50860937","0.45565176","0.5728855"
"98304","218","218","218","0.42831087333333334","0.37474728","0.49118847","218","218","218","0.41214047","0.29486066","0.49264175","218","218","218","0.5372701866666666","0.5040749","0.55756116","218","218","218","0.41911122333333334","0.31010062","0.5328882","218","218","218","0.3930023333333333","0.23745644","0.47297174","218","218","218","0.5657934333333333","0.5107019","0.636949"
"102400","227","227","227","0.4885244766666667","0.42329347","0.5394057","227","227","227","0.5366040333333333","0.5170864","0.5555468","227","227","227","0.6328301233333332","0.54152787","0.704263","227","227","227","0.5628486033333333","0.51484835","0.61245346","227","227","227","0.39342340000000003","0.27198416","0.54398257","227","227","227","0.5187648666666667","0.3820359","0.6252706"
