"global_step","Group: ResNet_Adapted - _step","Group: ResNet_Adapted - _step__MIN","Group: ResNet_Adapted - _step__MAX","Group: ResNet_Adapted - Default-Conf-v1/kills","Group: ResNet_Adapted - Default-Conf-v1/kills__MIN","Group: ResNet_Adapted - Default-Conf-v1/kills__MAX","Group: ResNet_Single_Frame_Adapted - _step","Group: ResNet_Single_Frame_Adapted - _step__MIN","Group: ResNet_Single_Frame_Adapted - _step__MAX","Group: ResNet_Single_Frame_Adapted - Default-Conf-v1/kills","Group: ResNet_Single_Frame_Adapted - Default-Conf-v1/kills__MIN","Group: ResNet_Single_Frame_Adapted - Default-Conf-v1/kills__MAX","Group: CNN_Single_Frame_Adapted - _step","Group: CNN_Single_Frame_Adapted - _step__MIN","Group: CNN_Single_Frame_Adapted - _step__MAX","Group: CNN_Single_Frame_Adapted - Default-Conf-v1/kills","Group: CNN_Single_Frame_Adapted - Default-Conf-v1/kills__MIN","Group: CNN_Single_Frame_Adapted - Default-Conf-v1/kills__MAX","Group: Swin_Single_Frame_Adapted_lrl-- - _step","Group: Swin_Single_Frame_Adapted_lrl-- - _step__MIN","Group: Swin_Single_Frame_Adapted_lrl-- - _step__MAX","Group: Swin_Single_Frame_Adapted_lrl-- - Default-Conf-v1/kills","Group: Swin_Single_Frame_Adapted_lrl-- - Default-Conf-v1/kills__MIN","Group: Swin_Single_Frame_Adapted_lrl-- - Default-Conf-v1/kills__MAX","Group: Swin_Single_Frame_Adapted_LoRA - _step","Group: Swin_Single_Frame_Adapted_LoRA - _step__MIN","Group: Swin_Single_Frame_Adapted_LoRA - _step__MAX","Group: Swin_Single_Frame_Adapted_LoRA - Default-Conf-v1/kills","Group: Swin_Single_Frame_Adapted_LoRA - Default-Conf-v1/kills__MIN","Group: Swin_Single_Frame_Adapted_LoRA - Default-Conf-v1/kills__MAX","Group: CNN_Adapted - _step","Group: CNN_Adapted - _step__MIN","Group: CNN_Adapted - _step__MAX","Group: CNN_Adapted - Default-Conf-v1/kills","Group: CNN_Adapted - Default-Conf-v1/kills__MIN","Group: CNN_Adapted - Default-Conf-v1/kills__MAX"
"81920","182","182","182","7.8","4.8","11.5","182","182","182","8.9","7.7","9.6","182","182","182","9.666666666666666","7.9","11","182","182","182","12.433333333333332","9.5","15.9","182","182","182","15.4","12.3","17","182","182","182","6.466666666666666","4.3","9"
"163840","366","366","366","15.233333333333334","14.8","15.6","366","366","366","15.866666666666665","13.5","17.7","366","366","366","19.866666666666667","18.7","21.5","366","366","366","17.23333333333333","16.9","17.8","366","366","366","20.733333333333334","19.3","22","366","366","366","15.399999999999999","14.4","16.9"
"245760","550","550","550","20.599999999999998","18.8","23.3","550","550","550","23","22.5","23.5","550","550","550","22.96666666666667","19.4","29.1","550","550","550","24.366666666666664","22.9","26","550","550","550","24.233333333333334","21.9","27","550","550","550","19.833333333333332","17.5","21.5"
"327680","734","734","734","20.3","17.3","22.1","734","734","734","21.3","20","22.6","734","734","734","23","18.9","29.2","734","734","734","22.166666666666668","20.6","23.1","734","734","734","22.899999999999995","19.9","25.2","734","734","734","19.733333333333334","18.8","20.4"
"409600","918","918","918","21.3","19.3","23.6","918","918","918","23.3","22.6","23.8","918","918","918","26.566666666666666","21.9","33.6","918","918","918","24.266666666666666","21.8","26.2","918","918","918","26.166666666666668","25.4","27","918","918","918","21.26666666666667","20","23.2"
"491520","1102","1102","1102","22.333333333333332","21.1","23.3","1102","1102","1102","23.666666666666668","22.3","25.2","1102","1102","1102","27.166666666666668","25.2","30.1","1102","1102","1102","26.96666666666667","25.6","28.4","1102","1102","1102","28.133333333333336","26.8","30","1102","1102","1102","22.366666666666664","19.8","24.3"
"573440","1286","1286","1286","24.266666666666666","23.5","25.2","1286","1286","1286","24.766666666666666","23.7","25.9","1286","1286","1286","28","24.8","32.6","1286","1286","1286","27.799999999999997","26.2","30.4","1286","1286","1286","30.8","29.2","32.1","1286","1286","1286","23.599999999999998","22.9","24.7"
"655360","1470","1470","1470","24.733333333333334","23.2","27.2","1470","1470","1470","26.03333333333333","24.6","27.4","1470","1470","1470","27.96666666666667","24.5","34.7","1470","1470","1470","28.46666666666667","26.4","30.8","1470","1470","1470","30.566666666666663","27.9","33","1470","1470","1470","25.933333333333334","24.4","27"
"737280","1654","1654","1654","26.333333333333332","23.7","29.3","1654","1654","1654","28.2","25.5","30.4","1654","1654","1654","28.5","23","34.6","1654","1654","1654","28.733333333333334","25.1","31.4","1654","1654","1654","30.73333333333333","29","32.3","1654","1654","1654","30.26666666666667","27.3","35.4"
"819200","1838","1838","1838","25.933333333333337","25.4","26.8","1838","1838","1838","28.066666666666663","27.2","29.6","1838","1838","1838","28.566666666666666","23.7","35.3","1838","1838","1838","31.03333333333333","28.3","35.3","1838","1838","1838","30.666666666666668","27","36.4","1838","1838","1838","29.399999999999995","27.7","31.1"
