"global_step","Group: ResNet_Adapted - _step","Group: ResNet_Adapted - _step__MIN","Group: ResNet_Adapted - _step__MAX","Group: ResNet_Adapted - Default-Conf-v1/reward","Group: ResNet_Adapted - Default-Conf-v1/reward__MIN","Group: ResNet_Adapted - Default-Conf-v1/reward__MAX","Group: ResNet_Single_Frame_Adapted - _step","Group: ResNet_Single_Frame_Adapted - _step__MIN","Group: ResNet_Single_Frame_Adapted - _step__MAX","Group: ResNet_Single_Frame_Adapted - Default-Conf-v1/reward","Group: ResNet_Single_Frame_Adapted - Default-Conf-v1/reward__MIN","Group: ResNet_Single_Frame_Adapted - Default-Conf-v1/reward__MAX","Group: CNN_Single_Frame_Adapted - _step","Group: CNN_Single_Frame_Adapted - _step__MIN","Group: CNN_Single_Frame_Adapted - _step__MAX","Group: CNN_Single_Frame_Adapted - Default-Conf-v1/reward","Group: CNN_Single_Frame_Adapted - Default-Conf-v1/reward__MIN","Group: CNN_Single_Frame_Adapted - Default-Conf-v1/reward__MAX","Group: Swin_Single_Frame_Adapted_lrl-- - _step","Group: Swin_Single_Frame_Adapted_lrl-- - _step__MIN","Group: Swin_Single_Frame_Adapted_lrl-- - _step__MAX","Group: Swin_Single_Frame_Adapted_lrl-- - Default-Conf-v1/reward","Group: Swin_Single_Frame_Adapted_lrl-- - Default-Conf-v1/reward__MIN","Group: Swin_Single_Frame_Adapted_lrl-- - Default-Conf-v1/reward__MAX","Group: Swin_Single_Frame_Adapted_LoRA - _step","Group: Swin_Single_Frame_Adapted_LoRA - _step__MIN","Group: Swin_Single_Frame_Adapted_LoRA - _step__MAX","Group: Swin_Single_Frame_Adapted_LoRA - Default-Conf-v1/reward","Group: Swin_Single_Frame_Adapted_LoRA - Default-Conf-v1/reward__MIN","Group: Swin_Single_Frame_Adapted_LoRA - Default-Conf-v1/reward__MAX","Group: CNN_Adapted - _step","Group: CNN_Adapted - _step__MIN","Group: CNN_Adapted - _step__MAX","Group: CNN_Adapted - Default-Conf-v1/reward","Group: CNN_Adapted - Default-Conf-v1/reward__MIN","Group: CNN_Adapted - Default-Conf-v1/reward__MAX"
"81920","181","181","181","41.42141133333333","26.414257","60.015377","181","181","181","47.072072666666664","41.104424","50.40437","181","181","181","51.39588966666667","42.31009","58.286644","181","181","181","64.718339","49.812527","82.33601","181","181","181","80.03067166666666","64.330345","88.47532","181","181","181","34.68185866666666","24.135439","47.553505"
"163840","365","365","365","79.09330999999999","76.86279","80.90239","365","365","365","82.13707","70.54753","90.89105","365","365","365","102.38327333333332","96.26276","111.01797","365","365","365","88.83353533333333","87.13707","91.12585","365","365","365","106.616493","98.78588","113.450165","365","365","365","79.33416","73.68265","86.73362"
"245760","549","549","549","106.04902833333334","97.12359","119.65707","549","549","549","118.05166033333334","115.746826","120.49938","549","549","549","118.21643300000001","99.875595","149.49176","549","549","549","124.76928833333334","117.472115","133.16928","549","549","549","124.24874999999999","112.323685","138.90678","549","549","549","102.17506533333334","89.734276","110.99556"
"327680","733","733","733","104.53555666666666","89.36815","113.56075","733","733","733","109.77180533333335","103.123436","116.57134","733","733","733","118.58981666666666","97.67095","150.82205","733","733","733","113.97322666666666","105.80915","118.92559","733","733","733","117.62083666666666","101.66571","129.86838","733","733","733","101.60009333333333","96.55347","105.00269"
"409600","917","917","917","109.74698666666667","99.54498","121.64421","917","917","917","119.98947666666668","116.60882","122.38848","917","917","917","137.26314666666667","113.03218","173.87569","917","917","917","124.76172333333334","112.24701","134.53069","917","917","917","134.60427666666666","130.48537","138.8527","917","917","917","109.70804333333332","103.45213","119.314"
"491520","1101","1101","1101","115.08539333333334","108.66509","119.63828","1101","1101","1101","122.05119","115.53768","129.66693","1101","1101","1101","140.09662666666668","129.5182","155.50848","1101","1101","1101","138.69144333333335","132.02121","145.73802","1101","1101","1101","144.44009333333335","137.52","154.02902","1101","1101","1101","115.30725333333334","102.06454","125.23283"
"573440","1285","1285","1285","124.76282199999999","120.94458","129.71765","1285","1285","1285","127.65055","122.11532","133.58862","1285","1285","1285","144.24770666666666","128.43915","167.85942","1285","1285","1285","143.03534","134.91563","156.19012","1285","1285","1285","158.11532","149.2057","165.3369","1285","1285","1285","121.754585","118.598495","127.36896"
"655360","1469","1469","1469","127.24285666666667","119.3325","140.06439","1469","1469","1469","134.06296666666665","126.53828","141.2402","1469","1469","1469","144.23822466666667","126.19742","178.72662","1469","1469","1469","146.50038666666669","136.22697","158.50223","1469","1469","1469","157.04966666666667","143.58386","169.62154","1469","1469","1469","133.9413646666667","125.592094","139.61896"
"737280","1653","1653","1653","135.49893","122.0453","150.73409","1653","1653","1653","144.81955","130.96951","156.01181","1653","1653","1653","147.07027333333335","119.03806","178.55247","1653","1653","1653","147.91433666666666","129.5348","161.50461","1653","1653","1653","157.88333666666668","148.64209","166.25192","1653","1653","1653","156.07782666666668","140.55687","182.80266"
"819200","1837","1837","1837","133.52190666666664","130.62112","138.2892","1837","1837","1837","144.56505666666666","139.83685","152.43356","1837","1837","1837","147.65382333333332","123.09875","182.27968","1837","1837","1837","159.77097333333333","145.6612","181.7285","1837","1837","1837","158.11660000000003","139.28514","187.5361","1837","1837","1837","151.99598666666668","143.35596","160.84082"
